Number,Frequency
1,410
11,407
8,401
7,388
15,385
42,385
22,384
23,384
40,384
5,382
41,381
26,377
6,376
18,374
33,374
34,370
32,367
36,367
38,367
12,366
25,366
16,365
19,364
3,363
29,363
21,361
24,361
9,360
13,360
31,360
37,359
4,358
10,356
20,356
35,355
45,355
2,353
39,352
17,351
43,348
30,345
28,344
14,340
27,340
44,324
